code_class,gene,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5,lower_bound,upper_bound,mean_pre,mean_post
Endogenous,SOX2,NM_003106.2,9,12,39,NA,8,15,5,17,22,18,10.5,22.5,16.6,15.5
Endogenous,HCK,NM_001172129.1,55,59,363,NA,577,132,120,109,92,151,46,214,241.4,112.8
Endogenous,WNT2B,NM_001291880.1,20,43,128,NA,187,49,24,NA,29,45,34,58,77.6,45.7
Endogenous,IL1B,NM_000576.2,19,15,132,NA,146,25,18,11,18,25,0,40,66.6,19
Endogenous,TLR1,NM_003263.3,60,NA,212,NA,301,168,138,156,98,155,135.5,187.5,161.8,159.7
Endogenous,CCL22,NM_002990.3,15,11,45,NA,NA,10,23,11,18,17,2,26,25.2,12.2
Endogenous,ICAM2,NM_000873.3,19,36,235,NA,154,23,83,52,60,45,12,76,110.2,39
Endogenous,MAP3K12,NM_006301.3,59,76,205,NA,164,53,11,22,51,29,-41.5,146.5,98,45
Endogenous,JAG1,NM_000214.2,119,178,1067,1169,595,346,222,255,662,622,-295.5,1172.5,533,514
Endogenous,CCL3/L1,NM_021006.5,122,19,79,NA,NA,48,62,72,70,118,-57,223,83.2,64.2
Endogenous,SOCS1,NM_003745.1,39,12,106,NA,150,23,100,27,33,53,-22,98,85.6,28.8
Endogenous,BCL2,NM_000633.2,198,472,1202,NA,1081,239,193,250,210,379,-83,805,576.8,335
Endogenous,MAP3K8,NM_001244134.1,213,NA,NA,NA,370,196,204,179,184,162,111,247,242.8,179
Endogenous,MMP1,NM_002421.2,47,24,73,NA,17,12,61,22,40,17,6.5,34.5,47.6,18.8
Endogenous,CMKLR1,NM_004072.2,40,118,230,NA,NA,NA,172,117,121,123,108,132,140.8,119.3
Endogenous,TNFRSF17,NM_001192.2,10,18,21,20,28,8,NA,9,51,29,-7.5,36.5,27.5,16.8
